carat,cut,color,clarity,depth,table,price
0.3,4,3,4,61.1,59.0,608
0.4,4,3,5,62.6,58.0,807
0.32,5,7,6,61.2,56.0,803
1.3,5,5,6,62.1,55.0,12629
2.03,3,2,3,62.3,60.0,16392
2.03,2,4,2,62.7,65.0,13621
1.2,3,3,3,62.3,57.0,6569
2.18,5,2,4,62.0,57.0,13769
0.26,4,6,4,62.1,56.0,580
0.91,1,3,3,64.7,56.0,3816
0.34,5,6,3,62.1,55.0,765
0.33,5,4,7,60.8,56.0,868
0.33,5,5,7,61.9,55.0,955
0.35,4,6,5,62.2,58.0,718
0.71,3,4,5,63.3,56.0,2494
1.07,4,7,3,60.2,55.0,6112
0.71,3,7,5,62.9,56.0,3465
2.23,4,1,4,61.0,58.0,14867
0.43,5,3,7,61.6,55.0,1017
0.55,5,7,4,62.7,57.0,1755
0.9,5,4,2,62.3,56.0,3718
0.72,3,2,7,62.8,56.0,2562
0.31,5,1,5,61.7,55.1,429
0.23,5,3,7,61.1,55.0,484
0.31,4,6,6,60.4,59.0,1046
1.52,5,5,2,61.9,57.0,10129
1.22,3,7,2,59.0,58.0,6607
1.32,5,2,5,61.2,57.0,7480
1.24,4,7,2,59.9,59.0,5382
1.01,4,3,4,61.6,59.0,5166
0.4,5,2,4,61.8,56.0,639
0.8,4,1,2,61.4,57.0,2074
0.5,3,6,3,63.0,58.0,1316
1.09,2,5,2,60.3,61.0,4698
0.3,4,4,8,60.2,58.0,895
0.2,4,6,4,59.0,60.0,367
1.21,5,4,4,60.1,57.0,9873
1.43,1,6,2,66.0,57.0,6086
0.56,5,2,8,61.9,54.0,1689
1.71,5,1,6,61.6,59.0,10945
1.24,4,5,4,62.2,58.0,9411
1.43,4,5,3,61.5,58.0,8809
2.32,4,1,4,62.4,57.0,17053
0.34,4,2,7,62.6,58.0,626
0.41,5,6,7,60.7,57.0,1367
1.12,3,5,3,62.9,57.0,6262
1.03,4,6,4,62.5,59.0,6183
1.35,4,5,2,62.8,60.0,6804
0.32,5,4,7,61.7,56.0,730
0.3,5,7,6,59.4,60.0,802
0.5,2,4,4,57.9,61.0,1415
1.1,5,4,3,61.6,56.0,6837
0.33,4,4,5,61.4,59.0,854
0.51,5,4,2,62.1,56.0,1148
0.4,4,3,7,61.8,58.0,1088
0.73,5,6,3,59.1,59.0,2846
1.2,2,7,3,63.5,55.0,5913
0.77,5,6,4,61.0,56.0,3303
0.71,3,2,3,62.0,56.0,2098
0.7,5,5,4,61.0,55.0,3468
0.52,4,7,3,60.9,61.0,1605
0.57,5,3,7,61.6,56.0,1961
0.71,2,2,7,63.8,56.0,2572
0.32,5,4,5,62.3,55.0,645
0.7,3,1,2,61.7,59.0,1788
0.51,5,6,5,62.0,57.0,1841
0.31,4,5,7,59.2,62.0,997
0.41,5,3,6,62.0,56.0,899
0.97,4,5,3,59.9,59.0,4726
0.4,3,7,3,63.8,54.0,694
0.32,5,7,4,62.0,55.0,972
0.3,5,6,6,61.6,57.0,1013
0.91,2,3,3,58.2,59.0,3855
0.55,5,5,4,61.1,57.0,1819
1.09,4,2,2,62.3,62.0,2708
0.37,5,6,6,61.4,56.0,876
1.01,4,4,3,58.8,58.0,4395
0.54,5,5,6,61.6,56.0,2231
1.51,4,2,2,62.6,59.0,7292
1.05,5,4,5,61.3,57.0,7155
0.51,4,2,3,61.3,58.0,1084
1.01,3,4,3,63.5,60.0,4271
2.04,5,2,3,60.2,56.0,16718
1.55,4,1,4,60.7,59.0,8055
1.14,2,3,3,62.8,58.0,5487
0.41,5,5,8,61.4,56.0,1439
0.71,3,5,5,62.2,55.0,3045
1.11,4,3,2,60.4,59.0,3605
1.12,3,6,2,60.9,63.0,3864
0.32,4,3,2,60.4,59.0,504
0.7,2,6,2,63.7,55.0,2435
0.5,3,5,2,61.4,61.0,1068
0.31,5,7,4,62.0,55.0,734
1.01,4,4,3,61.0,58.0,4808
0.59,3,4,5,62.0,56.0,1878
0.32,5,7,4,61.5,56.0,972
0.71,5,7,2,61.0,56.0,2505
0.37,5,5,6,61.6,57.0,920
0.31,2,2,5,63.9,55.0,586
0.71,4,3,3,62.9,58.0,2364
1.21,4,3,3,61.6,61.0,6505
2.01,4,4,2,59.4,58.0,15562
0.32,5,7,7,61.8,56.0,1067
0.5,4,4,6,61.4,57.0,1909
0.31,5,4,8,62.1,56.0,871
0.4,3,6,3,63.2,58.0,882
0.23,3,7,6,61.3,58.0,530
0.38,5,1,4,61.4,57.0,617
1.38,3,5,5,61.4,61.0,11286
0.56,4,7,4,61.1,58.0,1963
1.33,4,4,4,58.6,61.0,9682
0.41,1,2,5,65.3,58.0,735
0.7,3,6,6,61.5,58.0,3429
0.71,5,6,4,61.6,57.0,3112
0.42,3,6,6,59.8,56.0,1167
1.56,4,3,4,62.2,58.0,10424
1.03,4,1,2,62.8,58.0,3634
0.41,5,7,5,62.8,57.0,1230
0.31,5,4,8,61.7,54.0,891
0.42,5,5,7,62.0,55.0,1233
0.96,1,4,3,69.7,59.0,3299
1.5,5,2,1,61.3,57.0,5593
0.4,5,5,8,61.8,55.0,1261
0.27,3,3,6,62.1,57.0,486
1.29,4,3,2,61.0,57.0,5418
1.5,4,2,4,62.5,59.0,9055
0.7,3,5,3,61.4,57.0,2161
0.54,3,5,5,61.8,59.0,1653
1.0,3,5,3,63.5,56.0,5122
1.26,4,3,3,62.1,57.0,6435
0.91,3,6,3,63.5,57.0,4138
0.32,5,2,8,61.4,57.0,655
0.7,4,7,5,60.6,58.0,3239
0.51,5,5,4,62.6,55.0,1875
0.3,5,4,4,60.8,57.0,491
0.3,5,3,5,62.5,56.0,675
0.56,3,6,6,60.5,57.0,2442
1.5,3,7,4,63.0,59.0,13372
0.31,5,5,4,62.3,57.0,625
0.31,2,5,3,63.1,57.0,516
1.62,5,5,5,61.3,56.0,16790
0.38,3,7,4,60.9,58.0,933
0.51,4,4,4,61.3,59.0,1443
1.23,3,3,4,60.6,59.0,6459
1.19,4,6,1,60.2,61.0,3572
0.55,4,6,4,60.1,59.0,1735
1.5,3,5,4,62.6,59.0,12870
1.15,4,3,6,58.8,58.0,6917
0.56,5,6,5,60.0,55.0,2352
1.58,5,7,2,62.5,55.0,11428
0.71,3,6,3,62.9,57.0,2573
0.39,2,1,4,63.3,56.0,581
0.5,1,3,5,66.5,60.0,1155
0.71,4,6,3,60.8,60.0,2629
0.53,5,3,5,61.6,55.0,1678
0.5,5,6,2,61.1,58.0,1185
0.5,2,7,3,63.9,56.0,1257
2.3,4,2,4,61.8,60.0,18239
0.46,3,6,4,61.3,57.0,1081
0.32,5,4,5,61.6,55.0,665
0.31,3,4,4,63.1,56.0,698
0.35,5,6,5,61.9,56.0,1063
1.55,4,1,5,62.6,59.0,8593
0.33,3,6,5,58.3,62.0,886
1.01,3,6,4,63.4,60.0,6787
0.71,3,3,6,62.5,56.0,2594
1.16,4,2,5,60.4,59.0,5457
0.9,1,4,3,65.2,59.0,3250
0.49,5,7,5,62.3,55.0,1934
1.32,5,4,4,61.1,57.0,9408
1.0,1,5,2,59.3,66.0,3975
2.46,5,4,2,63.0,56.0,15745
0.38,3,5,4,61.9,59.0,800
0.38,2,3,3,63.3,57.0,633
1.52,2,5,3,63.6,54.0,10664
1.03,4,1,2,62.0,58.0,3378
1.01,3,5,4,63.3,57.0,6533
0.41,4,5,6,60.4,58.0,1115
0.7,3,2,5,62.7,58.0,2288
0.26,3,4,5,62.4,56.0,423
0.78,1,4,3,64.6,56.0,2359
0.31,4,5,4,61.5,56.0,802
1.2,5,3,4,62.0,56.0,6666
1.08,5,3,3,60.5,57.0,6426
1.3,5,3,7,62.8,55.2,9232
1.05,3,5,8,59.7,55.0,11417
1.01,3,5,2,61.0,60.0,5067
0.75,5,4,3,62.2,55.0,2760
0.77,5,1,3,62.0,57.0,2257
0.91,3,6,4,62.2,60.0,4759
0.78,2,6,3,57.9,62.0,2723
0.33,5,6,5,60.0,57.0,802
1.01,4,3,4,62.9,60.0,4559
0.3,3,7,4,62.5,57.0,670
0.3,3,3,6,62.0,55.0,533
0.44,3,1,5,61.9,57.0,694
0.4,4,7,4,62.4,59.0,1050
0.9,1,5,4,64.7,54.0,3931
0.42,5,7,4,61.4,56.0,1103
0.41,4,2,6,59.9,58.0,1061
1.52,4,6,2,60.8,60.0,9193
1.02,2,1,2,62.2,61.0,3639
0.36,5,4,4,60.6,56.0,664
0.53,5,3,2,61.6,54.0,1020
0.34,4,4,7,59.0,62.0,1071
0.43,5,4,3,61.8,55.0,795
1.05,4,7,3,59.3,58.0,6174
0.54,5,5,4,61.0,56.0,1615
0.31,4,4,2,62.3,57.0,523
0.3,2,2,3,64.1,57.0,391
1.0,2,4,5,63.9,55.0,6028
1.0,3,4,2,62.6,58.0,4725
1.2,5,2,6,61.5,57.0,6581
0.33,5,3,7,62.1,55.0,730
1.53,5,4,6,61.4,59.0,15275
1.51,4,6,4,59.8,58.0,14482
1.01,4,7,4,61.6,59.0,6271
1.01,3,4,3,62.0,63.0,3137
0.57,5,4,4,60.2,59.0,1642
0.5,5,2,3,62.0,55.0,982
0.33,3,7,6,61.9,56.0,856
0.44,4,7,5,60.2,59.0,1232
0.72,3,6,2,63.5,59.0,2376
0.32,5,5,8,62.2,54.0,943
1.01,4,6,3,60.7,58.0,5525
1.01,1,7,3,65.0,57.0,5385
1.5,4,2,4,62.3,60.0,9479
1.0,2,4,4,59.1,62.0,6369
1.08,2,4,4,58.9,58.0,6708
0.3,2,3,6,63.6,56.0,605
0.34,4,2,5,59.5,59.0,537
0.52,5,5,4,61.5,56.0,1981
0.91,5,3,3,62.0,56.0,4337
1.5,5,3,3,61.6,57.0,7627
1.25,3,3,2,63.5,57.0,4060
0.4,2,5,6,62.2,63.0,936
2.31,4,1,5,62.3,61.0,17451
0.9,3,4,5,61.7,60.0,4872
0.32,3,7,4,61.8,57.0,758
0.7,4,5,2,62.9,57.0,2184
1.01,5,2,3,62.3,59.0,4518
0.55,2,4,3,63.6,61.0,1213
0.31,5,7,4,62.1,54.0,804
0.27,5,7,6,61.5,56.0,586
0.4,4,6,4,61.9,59.0,975
0.6,3,5,4,62.1,57.0,1772
0.4,5,2,7,60.5,57.0,1080
1.2,5,4,5,62.0,55.0,9625
1.09,4,7,3,61.6,58.0,5799
0.67,5,3,3,62.1,54.0,1550
0.7,4,6,4,61.0,59.0,3199
0.52,5,2,5,61.5,56.0,1357
0.33,4,3,5,61.9,58.0,743
0.7,3,6,4,60.2,62.0,2843
0.57,3,6,3,62.1,58.0,1397
1.01,4,6,3,62.4,60.0,5002
0.54,5,4,6,62.0,56.0,1920
2.01,4,5,3,59.5,58.0,14502
0.31,5,4,8,61.6,56.0,839
1.01,1,5,5,64.7,54.0,6759
0.32,3,3,3,61.9,59.0,449
1.01,5,6,3,60.8,56.0,6346
0.91,5,5,4,62.6,55.0,5261
0.5,4,5,4,60.7,58.0,1654
1.2,1,2,1,66.2,55.0,3011
1.11,4,4,2,61.2,59.0,4755
0.33,2,4,5,63.1,57.0,666
1.04,5,4,4,61.9,57.0,6628
1.0,4,1,5,62.8,57.0,4144
0.33,4,4,5,62.3,58.0,666
0.56,5,6,4,60.7,57.0,1819
0.32,5,6,6,61.3,54.0,779
0.7,4,6,4,60.8,58.0,2697
0.4,5,4,8,62.3,55.0,1229
1.35,3,3,2,62.2,56.0,6088
0.43,4,7,3,61.0,58.0,774
0.91,3,7,2,62.7,59.0,3298
0.77,5,5,3,61.5,55.0,3321
0.9,4,6,3,62.2,59.0,4259
0.35,5,6,3,60.7,56.0,667
1.06,5,7,6,62.0,57.0,11837
2.06,2,1,3,64.1,56.0,11854
0.39,5,6,3,62.1,53.0,719
1.0,3,7,5,60.0,60.0,7281
1.0,3,7,2,63.5,59.0,4295
0.31,5,6,2,61.3,55.0,435
1.02,5,3,2,58.8,57.0,3142
0.9,4,5,3,61.3,58.0,3714
0.25,3,5,8,59.4,62.0,548
1.04,3,4,2,60.3,62.0,4084
0.53,5,4,5,61.9,56.0,1813
0.31,3,5,5,61.8,58.0,592
0.7,2,4,2,64.1,56.0,1935
0.54,5,2,5,61.5,56.0,1147
0.41,4,4,4,62.6,59.0,1061
0.71,3,6,4,61.2,58.0,2891
1.21,4,1,4,59.9,59.0,4841
1.84,5,1,5,62.4,56.0,8828
0.24,2,6,7,58.0,60.0,526
1.25,4,2,4,61.0,59.0,5975
0.32,3,7,3,62.3,55.0,589
0.53,2,6,4,63.7,55.0,1727
0.35,3,4,8,62.1,56.0,833
2.48,3,3,3,63.3,56.0,17893
0.32,3,5,7,61.9,59.0,926
1.02,5,4,6,61.8,56.0,9286
0.32,3,3,5,61.7,61.0,561
1.5,3,4,3,62.8,57.0,9996
0.7,4,7,2,61.8,55.0,2222
1.6,5,4,8,59.8,54.0,16547
0.3,3,5,4,62.8,58.0,605
0.36,3,5,5,60.1,59.0,825
1.37,4,4,5,58.3,60.0,10412
0.43,4,5,4,59.8,58.0,905
1.25,5,4,3,60.7,56.0,8226
0.6,5,5,3,61.5,58.0,1646
1.5,4,6,4,62.3,60.0,14179
0.5,5,7,4,61.7,56.0,1844
0.34,3,7,4,60.0,59.0,730
0.71,5,4,3,61.1,57.0,2307
0.3,4,2,5,61.6,61.0,567
0.28,3,3,6,62.0,55.0,522
1.2,3,2,5,62.8,54.5,6652
1.51,3,1,3,62.4,58.0,7136
0.31,3,3,4,63.1,58.0,628
1.51,4,5,2,59.9,58.0,9471
0.71,4,6,3,61.8,59.0,2792
0.58,4,3,4,59.7,59.0,1439
1.05,4,6,2,59.5,59.0,4742
0.36,5,4,7,62.8,57.0,1053
0.57,4,4,3,62.6,56.0,1915
0.56,5,5,4,61.0,55.0,1708
0.52,4,6,4,61.6,59.0,1576
0.31,3,3,4,63.2,58.0,628
1.51,3,6,4,63.3,56.0,14482
0.41,5,4,8,62.4,54.0,1367
1.0,2,6,4,64.0,58.0,5376
1.04,4,5,6,62.5,58.0,8946
1.04,4,7,2,61.6,58.0,4811
1.1,5,5,4,58.6,57.0,5692
1.21,4,4,4,62.2,60.0,7611
1.1,3,4,7,61.5,57.0,8020
0.42,5,4,6,62.1,57.0,1031
1.51,5,3,3,62.8,55.0,10502
0.31,5,5,7,61.0,57.0,884
0.71,4,3,2,60.5,60.0,2224
1.09,5,5,5,61.7,57.0,8730
1.2,4,6,4,62.7,59.0,9139
0.38,5,3,5,62.1,55.4,714
0.79,2,3,2,59.2,58.0,2346
1.17,3,3,3,59.6,62.0,6336
1.24,3,1,2,63.1,60.0,3791
0.4,5,3,6,61.1,55.0,868
0.34,5,7,3,60.6,56.0,626
0.3,5,6,4,61.4,56.0,621
0.42,4,4,7,59.8,58.0,1235
1.29,5,4,3,60.9,59.0,7463
1.23,5,5,2,62.3,58.0,5894
0.31,5,5,5,62.1,56.0,872
0.3,5,3,4,62.5,53.2,486
0.3,5,5,3,62.5,57.0,475
1.03,2,1,3,63.6,57.0,2855
0.36,4,6,5,61.5,59.0,727
0.73,5,7,3,61.4,56.0,2943
0.75,4,3,3,60.2,59.0,2329
0.35,5,7,3,61.6,56.0,827
0.27,5,4,4,61.5,55.0,490
0.9,1,4,5,65.7,58.0,3806
0.38,4,6,4,62.2,59.0,866
1.12,4,4,8,60.9,57.0,9126
0.51,5,6,2,62.0,56.0,1385
1.36,5,7,4,62.1,55.0,11793
0.8,5,4,4,62.1,57.0,3494
0.34,4,2,5,61.0,60.0,537
0.3,2,4,3,63.8,56.0,574
0.82,4,5,2,59.7,57.0,2867
0.39,5,2,4,60.8,56.0,698
0.32,5,5,2,62.6,56.0,540
0.54,5,4,5,61.0,57.0,1957
0.91,2,7,2,64.1,62.0,3408
0.37,5,2,5,60.8,56.0,603
0.32,5,7,4,62.0,55.0,758
1.04,3,6,3,59.6,59.0,5662
0.53,5,5,4,61.1,54.0,1655
0.23,3,5,6,60.4,61.0,505
1.0,1,3,2,67.0,55.0,2912
0.25,3,6,4,63.3,56.0,436
0.32,5,4,5,62.3,55.0,559
0.25,3,5,7,64.2,58.0,548
0.3,5,3,8,62.0,57.0,764
2.19,5,3,3,60.6,57.0,18475
0.92,3,5,2,62.1,59.0,3854
1.03,3,5,2,61.8,59.0,4414
1.14,3,3,4,59.9,57.0,5053
0.53,5,5,3,61.9,55.0,1639
0.9,5,4,2,62.4,56.0,3500
0.52,5,4,6,62.1,57.0,1911
0.55,5,2,5,62.2,55.0,1238
0.83,4,5,4,61.9,58.0,3408
0.73,3,4,7,62.9,59.0,3606
2.01,4,3,3,61.4,56.0,18295
0.34,4,2,7,60.5,59.0,626
1.06,4,3,4,62.0,58.0,5783
1.01,5,4,6,62.0,58.0,7597
0.9,3,5,2,60.8,55.0,3552
0.58,5,5,6,61.9,56.0,2380
0.31,4,3,4,58.9,61.0,586
1.01,1,5,2,67.3,62.0,3597
1.0,2,5,2,63.7,57.0,3906
1.07,2,3,4,63.8,57.0,5758
0.38,5,3,5,60.6,57.0,1117
0.27,3,6,4,59.5,56.0,470
0.36,4,5,2,60.3,59.0,446
1.36,4,1,4,58.4,59.0,6157
1.2,3,3,3,62.8,58.0,5567
0.9,3,2,4,58.7,60.0,3709
1.19,1,2,3,64.9,58.0,5198
