,Title,imdbRating,Plot,Genre,Runtime in minutes,imdbVotes,totalSeasons,Drama,Horror,Action,History,War,Sci-Fi,Family,Biography,Crime,Thriller,Comedy,Fantasy,Mystery,Animation,Sport,Adventure,Documentary,Romance,Western,Day,Time,Network,Episodes,Hours
112,Sex Education,8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Comedy, Drama",45,117791,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Friday,,Netflix,16,12.0
113,Bodyguard,8.2,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,"Crime, Drama, Thriller",60,79150,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,21:00,BBC One,6,6.0
114,Parks and Recreation,8.6,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Comedy,22,189764,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Thursday,20:00,NBC,125,45.83
115,DC's Legends of Tomorrow,6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Action, Adventure, Drama, Sci-Fi",42,86199,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tuesday,21:00,The CW,82,57.4
116,The Magicians,7.6,"After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined.","Drama, Fantasy, Mystery",60,38734,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Wednesday,22:00,Syfy,65,65.0
117,The End of the F***ing World,8.1,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Adventure, Comedy, Crime, Drama, Romance, Thriller",25,120162,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,Monday,,All 4,16,6.67
118,Collateral,6.8,London detectives investigating the seemingly random murder of a pizza delivery man uncover a convoluted case of interlocking circumstances amid a cross-section of British society.,"Crime, Drama, Mystery, Thriller",57,11018,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Monday,21:00,BBC Two,4,3.8
119,Benched,7.2,"After losing her boyfriend and her high-powered job as an attorney all on one day, Nina finds that the only job available to her is at the Public Defender's office. She quickly realizes ...",Comedy,23,2431,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tuesday,22:30,USA Network,12,4.6
120,Political Animals,7.8,"A divorced, former First Lady, is currently serving as the Secretary of State. She deals with State Department issues, while trying to keep her family together.",Drama,360,5556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,22:00,USA Network,6,36.0
121,In Plain Sight,7.2,U.S. Marshal Mary Shannon must hunt down witnesses for federal cases in the witness protection program while also managing a rather dysfunctional family and her own personal life.,"Crime, Drama, Mystery, Thriller",60,9761,5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Friday,22:00,USA Network,61,61.0
122,Graceland,7.7,"A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent.","Action, Crime, Drama",42,15484,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Thursday,22:00,USA Network,38,26.6
123,Covert Affairs,7.3,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.","Action, Crime, Drama, Mystery, Thriller",60,25855,5,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Thursday,22:00,USA Network,75,75.0
124,Burn Notice,7.9,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.,"Action, Crime, Drama, Mystery, Thriller",44,65790,7,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Thursday,21:00,USA Network,111,81.4
125,White Collar,8.2,"A white collar criminal agrees to help the FBI catch other white collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.","Comedy, Crime, Drama, Mystery",40,112984,6,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Thursday,21:00,USA Network,81,54.0
126,Psych,8.3,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.","Comedy, Crime, Mystery",44,80060,8,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Wednesday,21:00,USA Network,119,87.27
127,Monk,7.9,"Adrian Monk is a brilliant San Francisco detective, whose obsessive compulsive disorder just happens to get in the way.","Comedy, Crime, Drama, Mystery",44,61280,8,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Friday,21:00,USA Network,124,90.93
