,Title,imdbRating,Plot,Genre,Day,Time,Network,Hours,Runtime in minutes,imdbVotes,totalSeasons,Documentary,Animation,Thriller,War,Comedy,Crime,Drama,Action,Fantasy,Western,Family,Romance,Biography,History,Mystery,Sport,Sci-Fi,Adventure,Horror,Episodes
102,Sex and the City,7.1,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.,"Comedy, Drama, Romance",Sunday,??,HBO,47.0,30,99742,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,94
103,Ballers,7.6,"A series centered around a group of football players and their families, friends and handlers.","Comedy, Drama, Sport",Sunday,22:30,HBO,23.5,30,35548,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,47
104,Vice Principals,8.0,An over protective father is obsessed with becoming a principal and competes against the popular vice principal. However something happens that makes them work together to save the day.,Comedy,Sunday,22:30,HBO,9.0,30,18959,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
105,Rome,8.7,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Action, Drama, History, Romance, War",Sunday,21:00,HBO,19.07,52,146286,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,22
106,Oz,8.7,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Crime, Drama, Thriller",Sunday,22:00,HBO,51.33,55,84175,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56
107,Girls,7.3,A comedy about the experiences of a group of girls in their early 20s.,"Comedy, Drama",Sunday,22:00,HBO,28.93,28,62658,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
108,The Pacific,8.3,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.","Action, Adventure, Drama, History, War",Sunday,21:00,HBO,88.33,530,93168,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,10
109,Veep,8.3,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.,Comedy,Sunday,22:30,HBO,30.33,28,40605,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
110,Barry,8.3,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,"Action, Comedy, Crime, Drama",Sunday,22:00,HBO,8.0,30,34581,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16
111,The Corner,8.6,Chronicles West Baltimore family living in poverty on the front lines of America's drug war.,"Crime, Drama",Sunday,??,HBO,37.6,376,4174,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
112,Sex Education,8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Comedy, Drama",Friday,??,Netflix,12.0,45,117791,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
113,Bodyguard,8.2,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,"Crime, Drama, Thriller",Sunday,21:00,BBC One,6.0,60,79150,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
114,Parks and Recreation,8.6,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Comedy,Thursday,20:00,NBC,45.83,22,189764,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
115,DC's Legends of Tomorrow,6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Action, Adventure, Drama, Sci-Fi",Tuesday,21:00,The CW,57.4,42,86199,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,82
116,The Magicians,7.6,"After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined.","Drama, Fantasy, Mystery",Wednesday,22:00,Syfy,65.0,60,38734,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,65
117,The End of the F***ing World,8.1,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Adventure, Comedy, Crime, Drama, Romance, Thriller",Monday,??,All 4,6.67,25,120162,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,16
118,Collateral,6.8,London detectives investigating the seemingly random murder of a pizza delivery man uncover a convoluted case of interlocking circumstances amid a cross-section of British society.,"Crime, Drama, Mystery, Thriller",Monday,21:00,BBC Two,3.8,57,11018,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4
119,Benched,7.2,"After losing her boyfriend and her high-powered job as an attorney all on one day, Nina finds that the only job available to her is at the Public Defender's office. She quickly realizes ...",Comedy,Tuesday,22:30,USA Network,4.6,23,2431,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
120,Political Animals,7.8,"A divorced, former First Lady, is currently serving as the Secretary of State. She deals with State Department issues, while trying to keep her family together.",Drama,Sunday,22:00,USA Network,36.0,360,5556,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
121,In Plain Sight,7.2,U.S. Marshal Mary Shannon must hunt down witnesses for federal cases in the witness protection program while also managing a rather dysfunctional family and her own personal life.,"Crime, Drama, Mystery, Thriller",Friday,22:00,USA Network,61.0,60,9761,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,61
122,Graceland,7.7,"A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent.","Action, Crime, Drama",Thursday,22:00,USA Network,26.6,42,15484,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38
123,Covert Affairs,7.3,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.","Action, Crime, Drama, Mystery, Thriller",Thursday,22:00,USA Network,75.0,60,25855,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,75
124,Burn Notice,7.9,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.,"Action, Crime, Drama, Mystery, Thriller",Thursday,21:00,USA Network,81.4,44,65790,7,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,111
125,White Collar,8.2,"A white collar criminal agrees to help the FBI catch other white collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.","Comedy, Crime, Drama, Mystery",Thursday,21:00,USA Network,54.0,40,112984,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,81
126,Psych,8.3,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.","Comedy, Crime, Mystery",Wednesday,21:00,USA Network,87.27,44,80060,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,119
127,Monk,7.9,"Adrian Monk is a brilliant San Francisco detective, whose obsessive compulsive disorder just happens to get in the way.","Comedy, Crime, Drama, Mystery",Friday,21:00,USA Network,90.93,44,61280,8,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,124
